,kegg,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31
397,PSPTO_3981,519,,,,,,,,,,,,,,,
398,PSPTO_4026,rxn08296_c,rxn10254_c,rxn10256_c,rxn08300_c,rxn08297_c,rxn10258_c,rxn08299_c,rxn10253_c,rxn10257_c,rxn08294_c,rxn10255_c,rxn08295_c,rxn08298_c,520,,
399,PSPTO_4063,rxn05561_c,rxn05654_c,rxn05605_c,521,,,,,,,,,,,,
400,PSPTO_4097,522,,,,,,,,,,,,,,,
401,PSPTO_4098,523,,,,,,,,,,,,,,,
402,PSPTO_4116,rxn00208_c,rxn00209_c,524,,,,,,,,,,,,,
403,PSPTO_4137,525,,,,,,,,,,,,,,,
404,PSPTO_4138,526,,,,,,,,,,,,,,,
405,PSPTO_4140,527,,,,,,,,,,,,,,,
406,PSPTO_4144,rxn01672_c,528,,,,,,,,,,,,,,
407,PSPTO_4147,529,,,,,,,,,,,,,,,
408,PSPTO_4155,rxn01434_c,530,,,,,,,,,,,,,,
409,PSPTO_4164,rxn01019_c,531,,,,,,,,,,,,,,
410,PSPTO_4167,rxn05581_c,532,,,,,,,,,,,,,,
411,PSPTO_4168,533,,,,,,,,,,,,,,,
412,PSPTO_4170,rxn08556_c,534,,,,,,,,,,,,,,
413,PSPTO_4179,rxn03052_c,535,,,,,,,,,,,,,,
414,PSPTO_0410,53,,,,,,,,,,,,,,,
415,PSPTO_4183,536,,,,,,,,,,,,,,,
416,PSPTO_4217,537,,,,,,,,,,,,,,,
417,PSPTO_4225,rxn00262_c,rxn00338_c,538,,,,,,,,,,,,,
418,PSPTO_4235,rxn00025_c,539,,,,,,,,,,,,,,
419,PSPTO_4244,540,,,,,,,,,,,,,,,
420,PSPTO_4254,541,,,,,,,,,,,,,,,
421,PSPTO_0417,rxn02175_c,54,,,,,,,,,,,,,,
422,PSPTO_4265,542,,,,,,,,,,,,,,,
423,PSPTO_0418,55,,,,,,,,,,,,,,,
424,PSPTO_4285,rxn00763_c,543,,,,,,,,,,,,,,
425,PSPTO_4290,544,,,,,,,,,,,,,,,
426,PSPTO_4312,rxn11268_c,rxn05312_c,545,,,,,,,,,,,,,
427,PSPTO_4337,rxn00148_c,546,,,,,,,,,,,,,,
428,PSPTO_4339,547,,,,,,,,,,,,,,,
429,PSPTO_4363,548,,,,,,,,,,,,,,,
430,PSPTO_4394,549,,,,,,,,,,,,,,,
431,PSPTO_4399,rxn01636_c,rxn01303_c,550,,,,,,,,,,,,,
432,PSPTO_4402,rxn03146_c,551,,,,,,,,,,,,,,
433,PSPTO_4408,rxn03408_c,552,,,,,,,,,,,,,,
434,PSPTO_4411,rxn03904_c,553,,,,,,,,,,,,,,
435,PSPTO_0433,56,,,,,,,,,,,,,,,
436,PSPTO_4425,554,,,,,,,,,,,,,,,
437,PSPTO_4426,555,,,,,,,,,,,,,,,
438,PSPTO_4429,556,,,,,,,,,,,,,,,
439,PSPTO_4432,rxn00361_c,557,,,,,,,,,,,,,,
440,PSPTO_4437,rxn02320_c,558,,,,,,,,,,,,,,
441,PSPTO_4438,rxn00859_c,559,,,,,,,,,,,,,,
442,PSPTO_4441,rxn00461_c,560,,,,,,,,,,,,,,
443,PSPTO_0436,rxn00420_c,57,,,,,,,,,,,,,,
444,PSPTO_4449,rxn02404_c,561,,,,,,,,,,,,,,
445,PSPTO_4459,rxn00206_c,562,,,,,,,,,,,,,,
446,PSPTO_4461,563,,,,,,,,,,,,,,,
447,PSPTO_4473,564,,,,,,,,,,,,,,,
448,PSPTO_4474,565,,,,,,,,,,,,,,,
449,PSPTO_4475,566,,,,,,,,,,,,,,,
450,PSPTO_4478,567,,,,,,,,,,,,,,,
451,PSPTO_4487,568,,,,,,,,,,,,,,,
452,PSPTO_4491,569,,,,,,,,,,,,,,,
453,PSPTO_0441,rxn01867_c,58,,,,,,,,,,,,,,
454,PSPTO_4494,570,,,,,,,,,,,,,,,
455,PSPTO_4495,rxn01485_c,571,,,,,,,,,,,,,,
456,PSPTO_4496,572,,,,,,,,,,,,,,,
457,PSPTO_4501,573,,,,,,,,,,,,,,,
458,PSPTO_4502,rxn00414_c,574,,,,,,,,,,,,,,
459,PSPTO_4533,rxn05209_c,575,,,,,,,,,,,,,,
460,PSPTO_4547,576,,,,,,,,,,,,,,,
461,PSPTO_4549,rxn01634_c,577,,,,,,,,,,,,,,
462,PSPTO_4615,578,,,,,,,,,,,,,,,
463,PSPTO_4616,579,,,,,,,,,,,,,,,
464,PSPTO_4632,580,,,,,,,,,,,,,,,
465,PSPTO_4647,581,,,,,,,,,,,,,,,
466,PSPTO_4648,582,,,,,,,,,,,,,,,
467,PSPTO_4651,583,,,,,,,,,,,,,,,
468,PSPTO_0458,59,,,,,,,,,,,,,,,
469,PSPTO_0460,60,,,,,,,,,,,,,,,
470,PSPTO_0461,rxn00692_c,61,,,,,,,,,,,,,,
471,PSPTO_4685,584,,,,,,,,,,,,,,,
472,PSPTO_4795,rxn00131_c,585,,,,,,,,,,,,,,
473,PSPTO_4798,rxn02484_c,586,,,,,,,,,,,,,,
474,PSPTO_4799,rxn02305_c,587,,,,,,,,,,,,,,
475,PSPTO_4812,588,,,,,,,,,,,,,,,
476,PSPTO_4814,rxn13783_c,589,,,,,,,,,,,,,,
477,PSPTO_4828,590,,,,,,,,,,,,,,,
478,PSPTO_4829,rxn02373_c,591,,,,,,,,,,,,,,
479,PSPTO_4842,rxn00405_c,592,,,,,,,,,,,,,,
480,PSPTO_0480,62,,,,,,,,,,,,,,,
481,PSPTO_4859,rxn02213_c,593,,,,,,,,,,,,,,
482,PSPTO_4860,594,,,,,,,,,,,,,,,
483,PSPTO_4861,595,,,,,,,,,,,,,,,
484,PSPTO_4866,rxn00832_c,rxn01639_c,rxn03137_c,rxn00912_c,rxn00905_c,596,,,,,,,,,,
485,PSPTO_4867,rxn02895_c,597,,,,,,,,,,,,,,
486,PSPTO_4890,598,,,,,,,,,,,,,,,
487,PSPTO_4891,rxn00101_c,599,,,,,,,,,,,,,,
488,PSPTO_4894,600,,,,,,,,,,,,,,,
489,PSPTO_4895,601,,,,,,,,,,,,,,,
490,PSPTO_4909,602,,,,,,,,,,,,,,,
491,PSPTO_4910,603,,,,,,,,,,,,,,,
492,PSPTO_4911,604,,,,,,,,,,,,,,,
493,PSPTO_4913,605,,,,,,,,,,,,,,,
494,PSPTO_4921,rxn00012_c,rxn01265_c,606,,,,,,,,,,,,,
495,PSPTO_4922,rxn00138_c,607,,,,,,,,,,,,,,
496,PSPTO_4930,608,,,,,,,,,,,,,,,
497,PSPTO_4932,609,,,,,,,,,,,,,,,
498,PSPTO_4933,610,,,,,,,,,,,,,,,
499,PSPTO_4937,rxn00838_c,611,,,,,,,,,,,,,,
500,PSPTO_4938,rxn00789_c,612,,,,,,,,,,,,,,
501,PSPTO_4945,rxn04068_c,rxn03094_c,613,,,,,,,,,,,,,
502,PSPTO_4955,rxn09198_c,rxn09202_c,rxn10237_c,rxn09197_c,rxn10236_c,rxn09201_c,rxn10235_c,rxn09200_c,rxn10234_c,rxn10233_c,rxn09199_c,rxn09203_c,rxn10232_c,rxn00921_c,614,
503,PSPTO_0490,63,,,,,,,,,,,,,,,
504,PSPTO_4957,615,,,,,,,,,,,,,,,
505,PSPTO_4965,rxn00140_c,616,,,,,,,,,,,,,,
506,PSPTO_0494,rxn08180_c,rxn02229_c,rxn02230_c,64,,,,,,,,,,,,
507,PSPTO_5001,rxn08618_c,617,,,,,,,,,,,,,,
508,PSPTO_5003,rxn08711_c,618,,,,,,,,,,,,,,
509,PSPTO_0495,rxn02297_c,65,,,,,,,,,,,,,,
510,PSPTO_5005,619,,,,,,,,,,,,,,,
511,PSPTO_5006,rxn01871_c,620,,,,,,,,,,,,,,
512,PSPTO_5016,rxn05221_c,621,,,,,,,,,,,,,,
513,PSPTO_5017,rxn00503_c,rxn00183_c,622,,,,,,,,,,,,,
514,PSPTO_5035,rxn00351_c,623,,,,,,,,,,,,,,
515,PSPTO_5040,rxn00258_c,rxn00678_c,rxn01018_c,624,,,,,,,,,,,,
516,PSPTO_5047,rxn00931_c,rxn00929_c,625,,,,,,,,,,,,,
517,PSPTO_5049,626,,,,,,,,,,,,,,,
518,PSPTO_5057,rxn00898_c,627,,,,,,,,,,,,,,
519,PSPTO_5068,rxn00927_c,628,,,,,,,,,,,,,,
520,PSPTO_5069,rxn00910_c,rxn04954_c,629,,,,,,,,,,,,,
521,PSPTO_5079,rxn12432_c,630,,,,,,,,,,,,,,
522,PSPTO_5080,631,,,,,,,,,,,,,,,
523,PSPTO_5081,rxn05457_c,rxn05459_c,rxn05453_c,rxn05358_c,rxn05408_c,rxn05458_c,rxn05452_c,rxn05465_c,rxn05451_c,rxn05455_c,rxn05454_c,rxn05456_c,rxn05383_c,632,,
524,PSPTO_5083,633,,,,,,,,,,,,,,,
525,PSPTO_5084,634,,,,,,,,,,,,,,,
526,PSPTO_5085,635,,,,,,,,,,,,,,,
527,PSPTO_5087,rxn12206_c,636,,,,,,,,,,,,,,
528,PSPTO_5118,rxn03384_c,rxn02288_c,637,,,,,,,,,,,,,
529,PSPTO_5121,638,,,,,,,,,,,,,,,
530,PSPTO_5123,639,,,,,,,,,,,,,,,
531,PSPTO_5126,rxn02212_c,640,,,,,,,,,,,,,,
532,PSPTO_5127,rxn01739_c,641,,,,,,,,,,,,,,
533,PSPTO_5133,rxn10199_c,642,,,,,,,,,,,,,,
534,PSPTO_5134,rxn00161_c,643,,,,,,,,,,,,,,
535,PSPTO_5136,644,,,,,,,,,,,,,,,
536,PSPTO_5137,645,,,,,,,,,,,,,,,
537,PSPTO_5138,646,,,,,,,,,,,,,,,
538,PSPTO_5153,rxn01547_c,rxn02835_c,rxn02834_c,647,,,,,,,,,,,,
539,PSPTO_5154,648,,,,,,,,,,,,,,,
540,PSPTO_5165,rxn05740_c,649,,,,,,,,,,,,,,
541,PSPTO_5168,650,,,,,,,,,,,,,,,
542,PSPTO_5171,rxn01640_c,651,,,,,,,,,,,,,,
543,PSPTO_5174,652,,,,,,,,,,,,,,,
544,PSPTO_5178,653,,,,,,,,,,,,,,,
545,PSPTO_5187,654,,,,,,,,,,,,,,,
546,PSPTO_5189,rxn05614_c,rxn05219_c,rxn05183_c,rxn05613_c,655,,,,,,,,,,,
547,PSPTO_5216,656,,,,,,,,,,,,,,,
548,PSPTO_5219,rxn05574_c,rxn05673_c,657,,,,,,,,,,,,,
549,PSPTO_5241,rxn03393_c,658,,,,,,,,,,,,,,
550,PSPTO_5248,rxn05155_c,659,,,,,,,,,,,,,,
551,PSPTO_5251,rxn00029_c,660,,,,,,,,,,,,,,
552,PSPTO_5260,661,,,,,,,,,,,,,,,
553,PSPTO_5261,662,,,,,,,,,,,,,,,
554,PSPTO_5266,663,,,,,,,,,,,,,,,
555,PSPTO_5270,rxn02085_c,664,,,,,,,,,,,,,,
556,PSPTO_5274,rxn00867_c,rxn00495_c,665,,,,,,,,,,,,,
557,PSPTO_5275,666,,,,,,,,,,,,,,,
558,PSPTO_5277,rxn01642_c,667,,,,,,,,,,,,,,
559,PSPTO_5278,rxn00375_c,668,,,,,,,,,,,,,,
560,PSPTO_5279,rxn10344_c,rxn05516_c,rxn10481_c,rxn05528_c,rxn10343_c,669,,,,,,,,,,
561,PSPTO_5286,670,,,,,,,,,,,,,,,
562,PSPTO_5288,671,,,,,,,,,,,,,,,
563,PSPTO_5294,672,,,,,,,,,,,,,,,
564,PSPTO_5299,rxn08796_c,rxn08809_c,rxn08822_c,rxn08808_c,673,,,,,,,,,,,
565,PSPTO_5301,674,,,,,,,,,,,,,,,
566,PSPTO_5302,675,,,,,,,,,,,,,,,
567,PSPTO_5303,rxn05175_c,rxn05163_c,676,,,,,,,,,,,,,
568,PSPTO_5308,677,,,,,,,,,,,,,,,
569,PSPTO_5327,rxn01106_c,678,,,,,,,,,,,,,,
570,PSPTO_5334,rxn03135_c,679,,,,,,,,,,,,,,
571,PSPTO_5335,rxn03175_c,680,,,,,,,,,,,,,,
572,PSPTO_5338,rxn02473_c,681,,,,,,,,,,,,,,
573,PSPTO_5339,rxn01270_c,682,,,,,,,,,,,,,,
574,PSPTO_0537,66,,,,,,,,,,,,,,,
575,PSPTO_5356,rxn05564_c,683,,,,,,,,,,,,,,
576,PSPTO_5357,rxn05164_c,684,,,,,,,,,,,,,,
577,PSPTO_0539,67,,,,,,,,,,,,,,,
578,PSPTO_5380,rxn00002_c,685,,,,,,,,,,,,,,
579,PSPTO_5393,rxn01029_c,686,,,,,,,,,,,,,,
580,PSPTO_0542,rxn02504_c,68,,,,,,,,,,,,,,
581,PSPTO_5394,687,,,,,,,,,,,,,,,
582,PSPTO_5396,688,,,,,,,,,,,,,,,
583,PSPTO_5397,689,,,,,,,,,,,,,,,
584,PSPTO_5401,rxn00137_c,690,,,,,,,,,,,,,,
585,PSPTO_0543,69,,,,,,,,,,,,,,,
586,PSPTO_0549,rxn00095_c,70,,,,,,,,,,,,,,
587,PSPTO_5461,rxn01802_c,691,,,,,,,,,,,,,,
588,PSPTO_5464,692,,,,,,,,,,,,,,,
589,PSPTO_5475,rxn00966_c,693,,,,,,,,,,,,,,
590,PSPTO_5476,rxn05034_c,rxn03893_c,694,,,,,,,,,,,,,
591,PSPTO_5499,rxn00347_c,695,,,,,,,,,,,,,,
592,PSPTO_5504,rxn00527_c,rxn00260_c,696,,,,,,,,,,,,,
593,PSPTO_5516,697,,,,,,,,,,,,,,,
594,PSPTO_5519,698,,,,,,,,,,,,,,,
595,PSPTO_5521,rxn00124_c,rxn01396_c,rxn01807_c,699,,,,,,,,,,,,
596,PSPTO_5528,700,,,,,,,,,,,,,,,
597,PSPTO_5541,701,,,,,,,,,,,,,,,
598,PSPTO_5557,702,,,,,,,,,,,,,,,
599,PSPTO_5585,703,,,,,,,,,,,,,,,
600,PSPTO_5597,rxn03638_c,rxn00293_c,704,,,,,,,,,,,,,
601,PSPTO_5598,705,,,,,,,,,,,,,,,
602,PSPTO_5599,rxn10042_c,706,,,,,,,,,,,,,,
603,PSPTO_5600,707,,,,,,,,,,,,,,,
604,PSPTO_5601,708,,,,,,,,,,,,,,,
605,PSPTO_5602,709,,,,,,,,,,,,,,,
606,PSPTO_5606,710,,,,,,,,,,,,,,,
607,PSPTO_0566,rxn01116_c,71,,,,,,,,,,,,,,
608,PSPTO_5614,711,,,,,,,,,,,,,,,
609,PSPTO_5615,712,,,,,,,,,,,,,,,
610,PSPTO_0568,72,,,,,,,,,,,,,,,
611,PSPTOA0032,713,,,,,,,,,,,,,,,
612,PSPTO_0592,rxn00727_c,rxn00726_c,rxn01257_c,73,,,,,,,,,,,,
613,PSPTO_0593,rxn00790_c,rxn00791_c,74,,,,,,,,,,,,,
614,PSPTO_0594,rxn02507_c,75,,,,,,,,,,,,,,
615,PSPTO_0598,rxn00127_c,76,,,,,,,,,,,,,,
616,PSPTO_0604,rxn02465_c,77,,,,,,,,,,,,,,
617,PSPTO_0609,78,,,,,,,,,,,,,,,
618,PSPTO_0610,79,,,,,,,,,,,,,,,
619,PSPTO_0611,rxn12510_c,80,,,,,,,,,,,,,,
620,PSPTO_0616,81,,,,,,,,,,,,,,,
621,PSPTO_0617,82,,,,,,,,,,,,,,,
622,PSPTO_0619,83,,,,,,,,,,,,,,,
623,PSPTO_0620,rxn13784_c,84,,,,,,,,,,,,,,
624,PSPTO_0621,85,,,,,,,,,,,,,,,
625,PSPTO_0622,86,,,,,,,,,,,,,,,
626,PSPTO_0625,87,,,,,,,,,,,,,,,
627,PSPTO_0626,88,,,,,,,,,,,,,,,
628,PSPTO_0627,89,,,,,,,,,,,,,,,
629,PSPTO_0628,90,,,,,,,,,,,,,,,
630,PSPTO_0629,91,,,,,,,,,,,,,,,
631,PSPTO_0630,92,,,,,,,,,,,,,,,
632,PSPTO_0631,93,,,,,,,,,,,,,,,
633,PSPTO_0632,94,,,,,,,,,,,,,,,
634,PSPTO_0633,95,,,,,,,,,,,,,,,
635,PSPTO_0634,96,,,,,,,,,,,,,,,
636,PSPTO_0635,97,,,,,,,,,,,,,,,
637,PSPTO_0636,98,,,,,,,,,,,,,,,
638,PSPTO_0637,99,,,,,,,,,,,,,,,
639,PSPTO_0638,100,,,,,,,,,,,,,,,
640,PSPTO_0639,101,,,,,,,,,,,,,,,
641,PSPTO_0640,102,,,,,,,,,,,,,,,
642,PSPTO_0641,103,,,,,,,,,,,,,,,
643,PSPTO_0642,104,,,,,,,,,,,,,,,
644,PSPTO_0643,105,,,,,,,,,,,,,,,
645,PSPTO_0644,106,,,,,,,,,,,,,,,
646,PSPTO_0645,107,,,,,,,,,,,,,,,
647,PSPTO_0647,108,,,,,,,,,,,,,,,
648,PSPTO_0648,109,,,,,,,,,,,,,,,
649,PSPTO_0649,110,,,,,,,,,,,,,,,
650,PSPTO_0650,111,,,,,,,,,,,,,,,
651,PSPTO_0651,112,,,,,,,,,,,,,,,
652,PSPTO_0652,113,,,,,,,,,,,,,,,
653,PSPTO_0656,114,,,,,,,,,,,,,,,
654,PSPTO_0660,rxn08669_c,115,,,,,,,,,,,,,,
655,PSPTO_0661,116,,,,,,,,,,,,,,,
656,PSPTO_0662,rxn05158_c,117,,,,,,,,,,,,,,
657,PSPTO_0663,118,,,,,,,,,,,,,,,
658,PSPTO_0676,rxn05206_c,119,,,,,,,,,,,,,,
659,PSPTO_0677,120,,,,,,,,,,,,,,,
660,PSPTO_0678,121,,,,,,,,,,,,,,,
661,PSPTO_0690,rxn02474_c,122,,,,,,,,,,,,,,
662,PSPTO_0691,rxn00048_c,123,,,,,,,,,,,,,,
663,PSPTO_0692,rxn05040_c,rxn00300_c,124,,,,,,,,,,,,,
664,PSPTO_0693,rxn03080_c,125,,,,,,,,,,,,,,
665,PSPTO_0696,126,,,,,,,,,,,,,,,
666,PSPTO_0698,rxn03909_c,127,,,,,,,,,,,,,,
667,PSPTO_0699,rxn01213_c,rxn01466_c,128,,,,,,,,,,,,,
668,PSPTO_0701,rxn00566_c,rxn00950_c,129,,,,,,,,,,,,,
669,PSPTO_0722,rxn00001_c,130,,,,,,,,,,,,,,
670,PSPTO_0726,131,,,,,,,,,,,,,,,
671,PSPTO_0727,rxn00539_c,132,,,,,,,,,,,,,,
672,PSPTO_0728,133,,,,,,,,,,,,,,,
673,PSPTO_0744,134,,,,,,,,,,,,,,,
674,PSPTO_0750,135,,,,,,,,,,,,,,,
675,PSPTO_0073,rxn00242_c,rxn00303_c,3,,,,,,,,,,,,,
676,PSPTO_0757,rxn01137_c,136,,,,,,,,,,,,,,
677,PSPTO_0760,137,,,,,,,,,,,,,,,
678,PSPTO_0761,rxn05557_c,138,,,,,,,,,,,,,,
679,PSPTO_0763,139,,,,,,,,,,,,,,,
680,PSPTO_0765,140,,,,,,,,,,,,,,,
681,PSPTO_0075,rxn00239_c,4,,,,,,,,,,,,,,
682,PSPTO_0772,rxn05202_c,141,,,,,,,,,,,,,,
683,PSPTO_0774,rxn00656_c,rxn02925_c,142,,,,,,,,,,,,,
684,PSPTO_0782,rxn00501_c,rxn00671_c,143,,,,,,,,,,,,,
685,PSPTO_0787,rxn02791_c,rxn00350_c,144,,,,,,,,,,,,,
686,PSPTO_0797,145,,,,,,,,,,,,,,,
687,PSPTO_0798,146,,,,,,,,,,,,,,,
688,PSPTO_0800,rxn00179_c,147,,,,,,,,,,,,,,
689,PSPTO_0802,148,,,,,,,,,,,,,,,
690,PSPTO_0805,rxn00392_c,rxn00122_c,149,,,,,,,,,,,,,
691,PSPTO_0806,150,,,,,,,,,,,,,,,
692,PSPTO_0809,rxn08352_c,rxn08756_c,151,,,,,,,,,,,,,
693,PSPTO_0817,rxn00269_c,152,,,,,,,,,,,,,,
694,PSPTO_0080,5,,,,,,,,,,,,,,,
695,PSPTO_0836,rxn00778_c,153,,,,,,,,,,,,,,
696,PSPTO_0083,rxn01329_c,6,,,,,,,,,,,,,,
697,PSPTO_0085,rxn00519_c,rxn09177_c,rxn02341_c,7,,,,,,,,,,,,
698,PSPTO_0885,rxn11587_c,rxn11609_c,154,,,,,,,,,,,,,
699,PSPTO_0886,rxn05608_c,155,,,,,,,,,,,,,,
700,PSPTO_0089,8,,,,,,,,,,,,,,,
701,PSPTO_0923,rxn00100_c,rxn00134_c,156,,,,,,,,,,,,,
702,PSPTO_0090,9,,,,,,,,,,,,,,,
703,PSPTO_0948,rxn02402_c,157,,,,,,,,,,,,,,
704,PSPTO_0092,10,,,,,,,,,,,,,,,
705,PSPTO_0954,rxn05617_c,rxn05607_c,rxn05655_c,rxn05485_c,rxn05610_c,rxn05226_c,rxn02005_c,158,,,,,,,,
706,PSPTO_0955,rxn01492_c,159,,,,,,,,,,,,,,
707,PSPTO_0956,rxn05560_c,160,,,,,,,,,,,,,,
708,PSPTO_0957,rxn00178_c,rxn00874_c,161,,,,,,,,,,,,,
709,PSPTO_0959,rxn02380_c,rxn01044_c,rxn01977_c,rxn00223_c,rxn00558_c,162,,,,,,,,,,
710,PSPTO_0960,rxn01791_c,163,,,,,,,,,,,,,,
711,PSPTO_0961,164,,,,,,,,,,,,,,,
712,PSPTO_0962,rxn02503_c,165,,,,,,,,,,,,,,
713,PSPTO_0970,rxn00904_c,166,,,,,,,,,,,,,,
714,PSPTO_0977,167,,,,,,,,,,,,,,,
715,PSPTO_0981,rxn00011_c,rxn02185_c,168,,,,,,,,,,,,,
716,PSPTO_0982,169,,,,,,,,,,,,,,,
717,PSPTO_0984,rxn10231_c,rxn10228_c,rxn09206_c,rxn09209_c,rxn10230_c,rxn10227_c,rxn09210_c,rxn09205_c,rxn10229_c,rxn10226_c,rxn09211_c,rxn09207_c,rxn09208_c,170,,
